Width,Depth,w_h,d50,H,L,U,D_d50,ws,KD,Lsat_D,Lsat_d50,Lsat_b_D,Th,Thc,DelTh,ust,P,Ret,Lsat_b,Lsat_s
0.61,0.25,2.4,0.00054,0.061,1.768,0.9,462.962963,0.076421583,0.888459461,5.788780887,31.96850293,0.069051966,0.250245794,0.030986951,0.219258843,0.046745013,4.087151655,25.24230691,0.017262992,1.447195222
2.44,0.28,8.7,0.00047,0.125,1.98,0.64,595.7446809,0.066785464,0.888531256,4.693102545,24.59825196,0.041289923,0.136317979,0.032069345,0.104248634,0.032187001,5.187301012,15.12789029,0.011561178,1.314068713
0.76,0.148,5.1,0.0011,0.076,1.03,0.45,134.5454545,0.134889349,0.902826627,1.636709028,10.77583132,0.080090638,0.043573567,0.036746054,0.006827513,0.027839595,12.11308478,30.6235542,0.011853414,0.242232936
1.5,0.2,7.5,0.00077,0.071,1.39,0.49,259.7402597,0.103748114,0.90405544,2.315131843,14.16702654,0.054543052,0.060804789,0.032095936,0.028708853,0.026534296,10.07283308,21.22743647,0.01090861,0.463026369
1,0.2,5,0.0008,0.07,1.39,0.47,250,0.106910212,0.90405544,2.154759205,13.25066264,0.053002651,0.05442709,0.032465344,0.021961747,0.027514984,9.426510485,21.18653764,0.01060053,0.430951841
0.61,0.18,13.6,0.00032,0.064,1.25,0.6,562.5,0.043648854,0.904778684,6.692617274,31.59225461,0.056164008,0.17854067,0.040646578,0.137894092,0.03039475,3.590163903,9.726320093,0.010109521,1.204671109
1.5,0.2,7.5,0.00077,0.071,1.38,0.485,259.7402597,0.103748114,0.910606566,2.291307826,14.02246504,0.05398649,0.059570206,0.032095936,0.02747427,0.027234219,9.523691005,20.97034848,0.010797298,0.458261565
0.76,0.162,4.7,0.0011,0.047,1.1,0.46,147.2727273,0.134889349,0.925341836,1.673609315,10.86343217,0.073764046,0.044284899,0.036746054,0.007538845,0.028065913,12.01540695,30.87250477,0.011949775,0.271124709
0.6,0.15,4,0.00043,0.0482,1.01,0.75,348.8372093,0.060952427,0.933146333,6.025714513,33.18511026,0.095130649,0.235208784,0.033309277,0.201899507,0.040440452,3.768035687,17.38939454,0.014269597,0.903857177
0.76,0.149,5.1,0.0011,0.028,1,0.44,135.4545455,0.134889349,0.936194611,1.60011956,10.52540603,0.07770434,0.041571841,0.036746054,0.004825787,0.027192616,12.40128485,29.9118771,0.011577947,0.238417814
0.6,0.19,3.2,0.00043,0.0722,1.269,0.8,441.8604651,0.060952427,0.940744845,6.433594112,34.30432431,0.077636102,0.251341814,0.033309277,0.218032537,0.041804363,3.645099627,17.97587609,0.014750859,1.222382881
